,cagr,mdd
1985-10-29,15.116150049927569,-29.382098372883657
1985-10-30,15.117385198734912,-29.382098372883657
1985-10-31,15.118620549097162,-29.382098372883657
1985-11-01,15.119856101063567,-29.382098372883657
1985-11-02,15.121091854683444,-29.382098372883657
1985-11-04,15.123563967080745,-29.382098372883657
1985-11-05,15.124800325956823,-29.382098372883657
1985-11-06,15.126036886683657,-29.382098372883657
1985-11-07,15.127273649310613,-29.382098372883657
1985-11-08,15.12851061388707,-29.382098372883657
1985-11-09,15.12974778046241,-29.382098372883657
1985-11-11,15.132222719807409,-29.382098372883657
1985-11-12,15.133460492675965,-29.382098372883657
1985-11-13,15.13469846774116,-29.382098372883657
1985-11-14,15.135936645052483,-29.382098372883657
1985-11-15,15.137175024659388,-29.382098372883657
1985-11-16,15.138413606611433,-29.382098372883657
1985-11-18,15.14089137774899,-29.382098372883657
1985-11-19,15.142130567033618,-29.382098372883657
1985-11-20,15.143369958861562,-29.382098372883657
1985-11-21,15.144609553282407,-29.382098372883657
1985-11-22,15.145849350345774,-29.382098372883657
1985-11-23,15.147089350101272,-29.382098372883657
1985-11-25,15.149569957887255,-29.382098372883657
1985-11-26,15.150810566017082,-29.382098372883657
1985-11-27,15.15205137703768,-29.382098372883657
1985-11-28,15.153292390998786,-29.382098372883657
1985-11-29,15.154533607950116,-29.382098372883657
1985-11-30,15.155775027941365,-29.382098372883657
1985-12-02,15.158258477242793,-29.382098372883657
1985-12-03,15.159500506652467,-29.382098372883657
1985-12-04,15.160742739301236,-29.382098372883657
1985-12-05,15.161985175238858,-29.382098372883657
1985-12-06,15.163227814515201,-29.382098372883657
1985-12-07,15.164470657180074,-29.382098372883657
1985-12-09,15.166956952875022,-29.382098372883657
1985-12-10,15.16820040600484,-29.382098372883657
1985-12-11,15.169444062722782,-29.382098372883657
1985-12-12,15.170687923078784,-29.382098372883657
1985-12-13,15.171931987122766,-29.382098372883657
1985-12-14,15.17317625490473,-29.382098372883657
1985-12-16,15.175665401882465,-29.382098372883657
1985-12-17,15.176910281178246,-29.382098372883657
1985-12-18,15.178155364412005,-29.382098372883657
1985-12-19,15.17940065163379,-29.382098372883657
1985-12-20,15.180646142893671,-29.382098372883657
1985-12-21,15.1818918382417,-29.382098372883657
1985-12-23,15.184383841402681,-29.382098372883657
1985-12-24,15.185630149315866,-29.382098372883657
1985-12-26,15.188123378058282,-29.382098372883657
1986-01-04,15.199353030454454,-29.382098372883657
1986-01-06,15.20185076072822,-29.382098372883657
1986-01-07,15.203099933252929,-29.382098372883657
1986-01-08,15.204349310769993,-29.382098372883657
1986-01-09,15.205598893329864,-29.382098372883657
1986-01-10,15.206848680982876,-29.382098372883657
1986-01-11,15.208098673779503,-29.382098372883657
1986-01-13,15.210599275005322,-29.382098372883657
1986-01-14,15.211849883535455,-29.382098372883657
1986-01-15,15.213100697411042,-29.382098372883657
1986-01-16,15.214351716682572,-29.382098372883657
1986-01-17,15.215602941400608,-29.382098372883657
1986-01-18,15.216854371615662,-29.382098372883657
1986-01-20,15.21935784873909,-29.382098372883657
1986-01-21,15.220609895748606,-29.382098372883657
1986-01-22,15.221862148457488,-29.382098372883657
1986-01-23,15.223114606916322,-29.382098372883657
1986-01-24,15.224367271175755,-29.382098372883657
1986-01-25,15.225620141286477,-29.382098372883657
1986-01-27,15.228126499264372,-29.382098372883657
1986-01-28,15.22937998723295,-29.382098372883657
1986-01-29,15.23063368125559,-29.382098372883657
1986-01-30,15.231887581383008,-29.382098372883657
1986-01-31,15.233141687665963,-29.382098372883657
1986-02-01,15.234396000155236,-29.382098372883657
1986-02-03,15.236905243955889,-29.382098372883657
1986-02-04,15.238160175368897,-29.382098372883657
1986-02-05,15.239415313191461,-29.382098372883657
1986-02-06,15.240670657474432,-29.382098372883657
1986-02-07,15.241926208268719,-29.382098372883657
1986-02-08,15.243181965625151,-29.382098372883657
1986-02-10,15.245694100228224,-29.382098372883657
1986-02-11,15.246950477576714,-29.382098372883657
1986-02-12,15.248207061691076,-29.382098372883657
1986-02-13,15.249463852622336,-29.382098372883657
1986-02-14,15.250720850421429,-29.382098372883657
1986-02-15,15.251978055139404,-29.382098372883657
1986-02-17,15.254493085536037,-29.382098372883657
1986-02-18,15.255750911316767,-29.382098372883657
1986-02-19,15.257008944220573,-29.382098372883657
1986-02-20,15.258267184298502,-29.382098372883657
1986-02-21,15.25952563160169,-29.382098372883657
1986-02-22,15.26078428618125,-29.382098372883657
1986-02-24,15.263302217374042,-29.382098372883657
1986-02-25,15.264561494089591,-29.382098372883657
1986-02-26,15.265820978286172,-29.382098372883657
1986-02-27,15.267080670014987,-29.382098372883657
1986-02-28,15.268340569327265,-29.382098372883657
1986-03-03,15.27212151327728,-29.382098372883657
1986-03-04,15.27338224343595,-29.382098372883657
1986-03-05,15.274643181434433,-29.382098372883657
1986-03-06,15.275904327324064,-29.382098372883657
1986-03-07,15.277165681156202,-29.382098372883657
1986-03-08,15.278427242982161,-29.382098372883657
