Date,nasdaq100_UH,us500_Hx2,kbond20y,kodex200x2,usdkrwx2
1981-05-01,,223.1398715653453,110.08570917039096,457.4146307077558,2497.677663777328
1981-05-02,,223.1398715653453,110.0808164722056,456.65269593455184,2497.85606932474
1981-05-04,,216.2315482335863,110.48184061706372,435.2309240742324,2498.034487615406
1981-05-06,,216.5623178011852,110.94211715849426,435.97691911449584,2501.888660980452
1981-05-07,,219.4952590190384,111.16925150692622,425.8423606823068,2502.0673673133792
1981-05-08,,219.4471299050968,111.3968158974938,421.53867230853,2504.4534682966314
1981-05-09,,219.4471299050968,111.39186492789835,422.2288579639609,2504.6323578300808
1981-05-12,,216.23357681445188,112.03374329682192,422.2958851596607,2507.756154154088
1981-05-13,,215.65657665778903,112.26290131256674,430.0960700014196,2507.93527959367
1981-05-14,,218.0537997623614,112.49249283339334,441.55438343138167,2517.69231401909
1981-05-15,,220.9956368664318,112.72251861801102,440.8065185409256,2523.0396748252315
1981-05-16,,220.9956368664318,112.7175087282947,441.5117328919577,2523.219891944861
1981-05-18,,222.2180335330266,113.12846035066248,438.6290405650668,2524.139202163255
1981-05-19,,220.6941028120037,113.3596448150718,437.1593374792428,2524.3194978205524
1981-05-20,,220.378485493786,113.59126624806316,440.7543957813277,2525.9783944350806
1981-05-21,,219.52885170068635,113.82332541395824,440.73340747676673,2526.158821463254
1981-05-22,,218.11439567583608,114.0558230783412,436.3559120252555,2526.339261379073
1981-05-23,,218.11439567583608,114.05075393064872,434.16780248343474,2526.519714183457
1981-05-25,,218.11439567583608,114.0484005347203,441.3984015767903,2526.7001798773267
1981-05-26,,222.8828272410753,114.5519039023567,452.2761085701457,2532.05908073042
1981-05-27,,226.22521892672563,114.7857109708279,465.49192113172097,2534.4616961858096
1981-05-28,,225.1275965643534,115.01995946887794,473.67554192099465,2536.865616194822
1981-05-29,,222.21080017008595,115.2546501680348,478.16776473792487,2537.0468208816933
1981-05-30,,222.21080017008595,115.2495277391384,476.63300191238807,2537.228038511756
1981-06-01,,221.5925015514848,115.67004969215807,477.41428626178725,2537.4092690859347
1981-06-02,,215.5862763567997,115.87740050948074,487.21178281999664,2537.590512605156
1981-06-03,,215.86885832709407,116.08509169019956,503.2127755858012,2537.771769070341
1981-06-04,,216.680050650282,116.293123737624,494.6597829780033,2537.953038482417
1981-06-05,,220.83488446873108,116.50149715572122,491.5614194644426,2539.6176364697085
1981-06-08,,220.88680946326625,116.84315066290578,505.4337140014823,2539.799037729456
1981-06-09,,219.9699062545196,117.05238333184684,525.6114544365946,2539.9804519464365
1981-06-10,,221.1218596050474,117.26195906288036,532.7160456511855,2540.161879121576
1981-06-11,,225.8863051419247,117.4718783626988,541.4629484332596,2540.343319255798
1981-06-12,,224.99287315754484,117.6821417386564,554.3004268069158,2540.5247723500306
1981-06-13,,224.99287315754484,117.67691142124568,564.847627364329,2540.7062384051983
1981-06-15,,225.38219046085604,118.01918930091092,580.4788052134485,2540.887717422227
1981-06-16,,220.44131422954652,118.230304912299,607.9146767305187,2541.0692094020424
1981-06-17,,224.3298757967299,118.44176627991916,579.7888315888997,2541.250714345571
1981-06-18,,218.66103780270203,118.6535739138322,540.6930145902119,2541.432232253739
1981-06-19,,220.739230070482,118.86572832476514,571.1514432005799,2541.613763127471
1981-06-20,,220.739230070482,118.86044540350632,581.0143137933386,2541.795306967694
1981-06-22,,219.65624838861325,119.20614974527336,572.7340877798915,2541.9768637753346
1981-06-23,,224.30260144696965,119.41916364959673,576.0078757527599,2542.1584335513185
1981-06-24,,221.96622004557912,119.63252602307728,595.8427873494946,2542.340016296572
1981-06-25,,222.4531845827781,119.8462373791648,597.4975855991078,2542.5216120120217
1981-06-26,,221.60069122793067,120.06029823197822,605.0537289190107,2532.304359299772
1981-06-27,,221.60069122793067,120.05496221872347,620.2890613644213,2532.4852381825795
1981-06-29,,219.3456686482432,120.4041254895798,644.3636493095156,2532.6661299853063
1981-06-30,,217.06908595857152,120.61905315165664,674.9544557889892,2532.8470347088764
1981-07-01,,212.289866572832,120.83433201472413,725.0515585013923,2533.0279523542126
1981-07-02,,208.578410840595,121.11211391510524,712.0365695525336,2552.488369679032
1981-07-03,,208.578410840595,121.39049898203072,718.433961096793,2554.903838456813
1981-07-04,,208.578410840595,121.3851038487427,737.7794714497293,2555.086331588131
1981-07-06,,204.44596503062212,121.92584198814444,766.809491612372,2555.268837754673
1981-07-07,,207.22511560618008,122.20595527546948,814.4304965522632,2559.920563494763
1981-07-08,,207.4696886602789,122.48667657390686,786.9003893695302,2560.103414963584
1981-07-09,,210.62463590735933,122.7680071600202,793.6174277024131,2560.286279493224
1981-07-10,,210.83845576380256,123.0499483131106,755.7883303152647,2560.4691570846167
1981-07-11,,210.83845576380256,123.04447942651888,759.5336453619548,2560.652047738694
1981-07-13,,211.70430188617664,123.59317689447764,740.6220633687786,2560.8349514563893
1981-07-14,,211.72266264266565,123.87687015499765,717.1938056524614,2561.017868238636
1981-07-15,,213.6027035253635,124.1611788951022,709.7943770000853,2561.200798086367
1981-07-16,,213.94913891679104,124.4461044074535,718.0033506781713,2561.383741000516
1981-07-18,,215.3135342750858,124.7346144904232,743.8355860185782,2561.566696982016
1981-07-20,,208.58077448475743,125.29143035074632,711.0658385031102,2561.7496660318
1981-07-21,,207.3351667040976,125.57876989412384,713.7809440955879,2561.932648150802
1981-07-22,,203.41163688990807,125.86673252949076,691.713844998469,2562.115643339956
1981-07-23,,204.26194381522305,126.1553195659456,663.6689804504081,2562.2986516001934
