,cagr,mdd
1985-10-29,16.824994152192986,-32.412021394703515
1985-10-30,16.826378846918864,-32.412021394703515
1985-10-31,16.827763769158487,-32.412021394703515
1985-11-01,16.829148918967874,-32.412021394703515
1985-11-02,16.830534296403,-32.412021394703515
1985-11-04,16.83330573437456,-32.412021394703515
1985-11-05,16.834691795023083,-32.412021394703515
1985-11-06,16.83607808352152,-32.412021394703515
1985-11-07,16.837464599925987,-32.412021394703515
1985-11-08,16.83885134429255,-32.412021394703515
1985-11-09,16.84023831667738,-32.412021394703515
1985-11-11,16.843012945726365,-32.412021394703515
1985-11-12,16.84440060250285,-32.412021394703515
1985-11-13,16.845788487522295,-32.412021394703515
1985-11-14,16.847176600840918,-32.412021394703515
1985-11-15,16.848564942514898,-32.412021394703515
1985-11-16,16.849953512600546,-32.412021394703515
1985-11-18,16.85273133823191,-32.412021394703515
1985-11-19,16.854120593890222,-32.412021394703515
1985-11-20,16.855510078185397,-32.412021394703515
1985-11-21,16.856899791173795,-32.412021394703515
1985-11-22,16.858289732911746,-32.412021394703515
1985-11-23,16.85967990345567,-32.412021394703515
1985-11-25,16.862460931187016,-32.412021394703515
1985-11-26,16.863851788487327,-32.412021394703515
1985-11-27,16.865242874819298,-32.412021394703515
1985-11-28,16.866634190239438,-32.412021394703515
1985-11-29,16.86802573480426,-32.412021394703515
1985-11-30,16.86941750857023,-32.412021394703515
1985-12-02,16.872201743931868,-32.412021394703515
1985-12-03,16.87359420564065,-32.412021394703515
1985-12-04,16.874986896776846,-32.412021394703515
1985-12-05,16.87637981739707,-32.412021394703515
1985-12-06,16.87777296755797,-32.412021394703515
1985-12-07,16.879166347316144,-32.412021394703515
1985-12-09,16.881953795851068,-32.412021394703515
1985-12-10,16.883347864741218,-32.412021394703515
1985-12-11,16.884742163455414,-32.412021394703515
1985-12-12,16.886136692050414,-32.412021394703515
1985-12-13,16.887531450582994,-32.412021394703515
1985-12-14,16.888926439109888,-32.412021394703515
1985-12-16,16.891717106373893,-32.412021394703515
1985-12-17,16.893112785224652,-32.412021394703515
1985-12-18,16.894508694297027,-32.412021394703515
1985-12-19,16.89590483364789,-32.412021394703515
1985-12-20,16.89730120333415,-32.412021394703515
1985-12-21,16.898697803412688,-32.412021394703515
1985-12-23,16.901491694974325,-32.412021394703515
1985-12-24,16.90288898657135,-32.412021394703515
1985-12-26,16.905684261682687,-32.412021394703515
1986-01-04,16.9182744276144,-32.412021394703515
1986-01-06,16.9210747845284,-32.412021394703515
1986-01-07,16.92247531000064,-32.412021394703515
1986-01-08,16.923876066892674,-32.412021394703515
1986-01-09,16.925277055261787,-32.412021394703515
1986-01-10,16.92667827516525,-32.412021394703515
1986-01-11,16.92807972666037,-32.412021394703515
1986-01-13,16.930883324654864,-32.412021394703515
1986-01-14,16.932285471268926,-32.412021394703515
1986-01-15,16.93368784970406,-32.412021394703515
1986-01-16,16.935090460017598,-32.412021394703515
1986-01-17,16.93649330226703,-32.412021394703515
1986-01-18,16.93789637650973,-32.412021394703515
1986-01-20,16.94070322120482,-32.412021394703515
1986-01-21,16.942106991772164,-32.412021394703515
1986-01-22,16.94351099456273,-32.412021394703515
1986-01-23,16.944915229634038,-32.412021394703515
1986-01-24,16.946319697043634,-32.412021394703515
1986-01-25,16.94772439684906,-32.412021394703515
1986-01-27,16.950534493877868,-32.412021394703515
1986-01-28,16.95193989121644,-32.412021394703515
1986-01-29,16.95334552118133,-32.412021394703515
1986-01-30,16.954751383830178,-32.412021394703515
1986-01-31,16.95615747922068,-32.412021394703515
1986-02-01,16.957563807410516,-32.412021394703515
1986-02-03,16.96037716241914,-32.412021394703515
1986-02-04,16.96178418935339,-32.412021394703515
1986-02-05,16.96319144931797,-32.412021394703515
1986-02-06,16.9645989423707,-32.412021394703515
1986-02-07,16.966006668569356,-32.412021394703515
1986-02-08,16.967414627971777,-32.412021394703515
1986-02-10,16.970231246619385,-32.412021394703515
1986-02-11,16.971639905980318,-32.412021394703515
1986-02-12,16.973048798776524,-32.412021394703515
1986-02-13,16.974457925065977,-32.412021394703515
1986-02-14,16.975867284906588,-32.412021394703515
1986-02-15,16.977276878356307,-32.412021394703515
1986-02-17,16.980096766315157,-32.412021394703515
