,cagr,mdd
1985-10-29,18.067463333232283,-34.8083897445268
1985-10-30,18.068957957975318,-34.8083897445268
1985-10-31,18.07045282949975,-34.8083897445268
1985-11-01,18.071947947866597,-34.8083897445268
1985-11-02,18.07344331313685,-34.8083897445268
1985-11-04,18.07643478463188,-34.8083897445268
1985-11-05,18.077930890978777,-34.8083897445268
1985-11-06,18.0794272444734,-34.8083897445268
1985-11-07,18.080923845176876,-34.8083897445268
1985-11-08,18.082420693150382,-34.8083897445268
1985-11-09,18.083917788455018,-34.8083897445268
1985-11-11,18.086912721302607,-34.8083897445268
1985-11-12,18.08841055896795,-34.8083897445268
1985-11-13,18.08990864420934,-34.8083897445268
1985-11-14,18.09140697708804,-34.8083897445268
1985-11-15,18.09290555766532,-34.8083897445268
1985-11-16,18.094404386002473,-34.8083897445268
1985-11-18,18.097402786201844,-34.8083897445268
1985-11-19,18.09890235818674,-34.8083897445268
1985-11-20,18.100402178176967,-34.8083897445268
1985-11-21,18.101902246233912,-34.8083897445268
1985-11-22,18.103402562419046,-34.8083897445268
1985-11-23,18.10490312679378,-34.8083897445268
1985-11-25,18.10790500035797,-34.8083897445268
1985-11-26,18.10940630967044,-34.8083897445268
1985-11-27,18.11090786741851,-34.8083897445268
1985-11-28,18.11240967366374,-34.8083897445268
1985-11-29,18.113911728467702,-34.8083897445268
1985-11-30,18.115414031891987,-34.8083897445268
1985-12-02,18.11841938484797,-34.8083897445268
1985-12-03,18.11992243450298,-34.8083897445268
1985-12-04,18.121425733024843,-34.8083897445268
1985-12-05,18.122929280475297,-34.8083897445268
1985-12-06,18.12443307691605,-34.8083897445268
1985-12-07,18.12593712240882,-34.8083897445268
1985-12-09,18.12894596079748,-34.8083897445268
1985-12-10,18.13045075381694,-34.8083897445268
1985-12-11,18.131955796135557,-34.8083897445268
1985-12-12,18.13346108781515,-34.8083897445268
1985-12-13,18.134966628917624,-34.8083897445268
1985-12-14,18.136472419504802,-34.8083897445268
1985-12-16,18.139484749380983,-34.8083897445268
1985-12-17,18.140991288793806,-34.8083897445268
1985-12-18,18.142498077939084,-34.8083897445268
1985-12-19,18.14400511687875,-34.8083897445268
1985-12-20,18.145512405674857,-34.8083897445268
1985-12-21,18.147019944389385,-34.8083897445268
1985-12-23,18.150035771821905,-34.8083897445268
1985-12-24,18.151544060664037,-34.8083897445268
1985-12-26,18.154561388910583,-34.8083897445268
1986-01-04,18.168151762607575,-34.8083897445268
1986-01-06,18.171174603415597,-34.8083897445268
1986-01-07,18.172686400252267,-34.8083897445268
1986-01-08,18.17419844812722,-34.8083897445268
1986-01-09,18.17571074710287,-34.8083897445268
1986-01-10,18.177223297241675,-34.8083897445268
1986-01-11,18.17873609860603,-34.8083897445268
1986-01-13,18.181762455261396,-34.8083897445268
1986-01-14,18.183276010677417,-34.8083897445268
1986-01-15,18.184789817569012,-34.8083897445268
1986-01-16,18.186303875998753,-34.8083897445268
1986-01-17,18.187818186029237,-34.8083897445268
1986-01-18,18.189332747723007,-34.8083897445268
1986-01-20,18.19236262635102,-34.8083897445268
1986-01-21,18.19387794341054,-34.8083897445268
1986-01-22,18.195393512383973,-34.8083897445268
1986-01-23,18.196909333334,-34.8083897445268
1986-01-24,18.19842540632335,-34.8083897445268
1986-01-25,18.199941731414793,-34.8083897445268
1986-01-27,18.20297513815492,-34.8083897445268
1986-01-28,18.204492219929215,-34.8083897445268
1986-01-29,18.206009554056735,-34.8083897445268
1986-01-30,18.207527140600366,-34.8083897445268
1986-01-31,18.209044979622945,-34.8083897445268
1986-02-01,18.21056307118736,-34.8083897445268
1986-02-03,18.213600012193364,-34.8083897445268
1986-02-04,18.215118861760836,-34.8083897445268
1986-02-05,18.216637964121894,-34.8083897445268
1986-02-06,18.218157319339557,-34.8083897445268
1986-02-07,18.21967692747681,-34.8083897445268
1986-02-08,18.221196788596682,-34.8083897445268
1986-02-10,18.224237270036614,-34.8083897445268
1986-02-11,18.225757890482797,-34.8083897445268
1986-02-12,18.22727876416397,-34.8083897445268
1986-02-13,18.228799891143275,-34.8083897445268
1986-02-14,18.23032127148383,-34.8083897445268
1986-02-15,18.23184290524884,-34.8083897445268
1986-02-17,18.234886933305038,-34.8083897445268
1986-02-18,18.23640932772268,-34.8083897445268
1986-02-19,18.237931975817734,-34.8083897445268
1986-02-20,18.239454877653415,-34.8083897445268
1986-02-21,18.240978033293096,-34.8083897445268
1986-02-22,18.242501442800062,-34.8083897445268
1986-02-24,18.245549023669284,-34.8083897445268
1986-02-25,18.247073195158304,-34.8083897445268
1986-02-26,18.248597620768138,-34.8083897445268
1986-02-27,18.25012230056222,-34.8083897445268
1986-02-28,18.251647234604018,-34.8083897445268
1986-03-03,18.256223562850394,-34.8083897445268
1986-03-04,18.25774951451793,-34.8083897445268
1986-03-05,18.259275720750722,-34.8083897445268
1986-03-06,18.26080218161239,-34.8083897445268
1986-03-07,18.262328897166526,-34.8083897445268
1986-03-08,18.26385586747672,-34.8083897445268
1986-03-11,18.26843830758036,-34.8083897445268
1986-03-12,18.269966297551555,-34.8083897445268
1986-03-13,18.27149454259722,-34.8083897445268
1986-03-14,18.273023042781155,-34.8083897445268
1986-03-15,18.274551798167128,-34.8083897445268
1986-03-17,18.277610074800332,-34.8083897445268
1986-03-18,18.27913959617522,-34.8083897445268
1986-03-19,18.280669373007406,-34.8083897445268
1986-03-20,18.28219940536082,-34.8083897445268
1986-03-21,18.2837296932993,-34.8083897445268
1986-03-22,18.285260236886813,-34.8083897445268
1986-03-24,18.288322091264632,-34.8083897445268
